ht 1 time	ht1 temp	ht2 time	ht2 temp	ht3 time	ht3 temp	ht4 time	ht4 temp	ht1 Arr	ht2 Arr	ht3 Arr	ht4 Arr	Ni at. %	Cr at. %	Co at. %	Al at. %	Ta at. %	W at. %	Ti at. %	Mo at. %	γ’ frac at. %	K_Ni	K_Cr	K_Co 	K_Al	K_Ta	K_W	K_Ti	K_Mo
3	1300	4	1100	24	850	0	20	65.6669733691	5.0820864252	1.9927562557	2.4909024846	65.9	9.3	5.1	11.2	2	2.6	2.5	1.3	69	1.2844202899	0.0694980695	0.3846153846	6.4347826087	7.3333333333	0.756097561	10.3333333333	0.2142857143
3	1300	4	1100	24	850	0.5	1050	65.6669733691	5.0820864252	1.9927562557	2.4909024846	65.9	9.3	5.1	11.2	2	2.6	2.5	1.3	64	1.2086206897	0.1121495327	0.4712643678	3.0638297872	6	0.6315789474	5.6666666667	0.3913043478
3	1300	4	1100	24	850	10	1050	65.6669733691	5.0820864252	1.9927562557	2.4909024846	65.9	9.3	5.1	11.2	2	2.6	2.5	1.3	48	1.1661129568	0.1847133758	0.5432098765	1.7228915663	2.4444444444	0.6666666667	2	0.3529411765
3	1300	4	1100	24	850	100	1050	65.6669733691	5.0820864252	1.9927562557	2.4909024846	65.9	9.3	5.1	11.2	2	2.6	2.5	1.3	51	1.2027972028	0.1269035533	0.4835164835	2.4153846154	3.8333333333	0.6944444444	4.125	0.28
3	1300	4	1100	24	850	0	20	67.509325298	5.4803220246	3.4874326886	1.9927470615	67.75	8	5.5	6	3.5	5	2	2.25	71	1.4195672117	0.0073281015	0.2480305562	1.8755234107	11.9154929577	4.2863849765	7.4162754304	0.6843127732
4	1300	5	982	20	870	0	20	71.7440457731	0	2.7897623515	0	72	7.8	0	12.7	2.8	0	0	4.6	58	1.0264993026	0.2212389381		2.3376623377	3.4545454545			0.2682926829
30	1100	1500	900	0	20	0	20	64.4375588521	5.1340019156	4.0125312498	1.8959990536	64.6643085696	11.6789317002	5.1520950888	11.2532457531	4.0271850665	1.3212769812	1.9029568405	0	59	1.125	0.1313559322	0.3536585366	5.0909090909	3.7857142857	0.4	3.8571428571	
0.5	1315	5	980	48	850	0	20	67.5343478162	4.6457394671	1.907555606	1.1189132505	67.7740949352	9.1896290782	4.6620462099	12.3965461801	1.9144904836	2.5666452437	1.1230137288	0.3735341405	66.1260589141	1.1413999926	0.1042714003	0.4224494333	4.1371266036	118.3327801375	0.7868953506	10.4648036856	0.2523086997
0.5	1315	16	1050	48	850	0	20	67.5343478162	4.6457394671	1.907555606	1.1189132505	67.7740949352	9.1896290782	4.6620462099	12.3965461801	1.9144904836	2.5666452437	1.1230137288	0.3735341405	66.1260589141	1.1413999926	0.1042714003	0.4224494333	4.1371266036	118.3327801375	0.7868953506	10.4648036856	0.2523086997
0.5	1310	4	1100	24	850	0	20	66.0553721869	5.0685758242	1.9806762051	0	66.2898404802	9.2238187824	5.0862947773	13.5536195315	1.9878758076	2.6088044157	0	1.2497462054	69.2312714441	1.2439156246	0.1095849396	0.3124358673	4.7659119633	3.3519837408	1.1565529439		0.233056836
