,x1,T,G
0,0.25,0.0,0.026358143708780264
1,0.21875,0.0,0.04341914702420082
2,0.28125,0.0,0.04595098608093559
3,0.25,19.8,0.02547462650839939
4,0.21875,19.8,0.04252047525081037
5,0.28125,19.8,0.047181386795322536
6,0.25,39.5,0.026858548620082624
7,0.21875,39.5,0.04140846936167479
8,0.28125,39.5,0.054854553520373064
9,0.25,59.3,0.030555265043615342
10,0.21875,59.3,0.03905561925344915
11,0.28125,59.3,0.06008913431679756
12,0.25,79.0,0.03347998614880098
13,0.21875,79.0,0.03520196190368918
14,0.28125,79.0,0.06246511571942903
15,0.25,98.8,0.03436983475364386
16,0.21875,98.8,0.03036143716076456
17,0.28125,98.8,0.06283640717655571
18,0.25,118.5,0.03311185052733001
19,0.21875,118.5,0.02500520372213122
20,0.28125,118.5,0.06170267463818852
21,0.25,138.3,0.03002341626965357
22,0.21875,138.3,0.019263644152700505
23,0.28125,138.3,0.05940607947009882
24,0.25,158.0,0.02548316859082874
25,0.21875,158.0,0.013192715716165832
26,0.28125,158.0,0.0561842326379356
27,0.25,177.8,0.019781710312703066
28,0.21875,177.8,0.006727325809716434
29,0.28125,177.8,0.05219858508191541
30,0.25,197.5,0.013177241845226938
31,0.21875,197.5,-0.00013127929818791857
32,0.28125,197.5,0.04757685266950127
33,0.25,217.3,0.005802769770780317
34,0.21875,217.3,-0.007438150176795829
35,0.28125,217.3,0.04239094099456251
36,0.25,237.0,-0.0021899215676646332
37,0.21875,237.0,-0.015166814088734451
38,0.28125,237.0,0.0367136703123352
39,0.25,256.8,-0.010753567413663368
40,0.21875,256.8,-0.02334815754574924
41,0.28125,256.8,0.030574576835529464
42,0.25,276.5,-0.019785491947784593
43,0.21875,276.5,-0.03193614758624955
44,0.28125,276.5,0.02402251178041421
45,0.25,296.3,-0.0292776447813409
46,0.21875,296.3,-0.040950729846774586
47,0.28125,296.3,0.017068256230353396
48,0.25,316.0,-0.0391476933981854
49,0.21875,316.0,-0.05033691080772046
50,0.28125,316.0,0.009750811925952476
51,0.25,335.8,-0.04940521596256933
52,0.21875,335.8,-0.060112411938246874
53,0.28125,335.8,0.0020720159523671053
54,0.25,355.6,-0.06000004944385057
55,0.21875,355.6,-0.0702388227413299
56,0.28125,355.6,-0.005942472352036302
57,0.25,375.3,-0.07088395450901239
58,0.21875,375.3,-0.08067653315998828
59,0.28125,375.3,-0.014267622338787377
60,0.25,395.1,-0.08207978932934601
61,0.21875,395.1,-0.09144606553067088
