x_Al_1,T_1,x_Al_2,T_2
0.0918,403.9513,0.2486,402.5638
0.0918,405.6768,0.2486,404.2894
0.0921,407.4032,0.2486,406.015
0.0921,409.1289,0.2486,407.7407
0.0921,410.8545,0.2486,409.4663
0.0921,412.58,0.2486,411.1919
0.0921,414.3057,0.2486,412.9175
0.0925,416.0321,0.2486,414.6432
0.0928,417.7585,0.2482,416.3679
0.0932,419.4848,0.2482,418.0937
0.0935,421.2112,0.2482,419.8193
0.0935,422.9367,0.2479,421.5442
0.0939,424.6632,0.2479,423.2698
0.0939,426.3888,0.2479,424.9954
0.0942,428.1152,0.2479,426.721
0.0942,429.8408,0.2479,428.4466
0.0946,429.8416,0.2479,430.1723
0.0946,431.5672,0.2479,431.8979
0.0946,433.2928,0.2479,433.6236
0.0949,435.0192,0.2479,435.3492
0.0949,436.7448,0.2479,437.0748
0.0952,438.4712,0.2479,438.8004
0.0952,440.1968,0.2479,440.5261
0.0956,441.9232,0.2475,442.2509
0.0956,443.6488,0.2475,443.9766
0.0959,443.6495,0.2475,445.7022
0.0959,445.3752,0.2475,447.4278
0.0959,447.1008,0.2475,449.1534
0.0963,448.8272,0.2475,450.8791
0.0963,450.5528,0.2475,452.6047
0.0966,452.2791,0.2475,454.3303
0.0966,454.0048,0.2475,456.0559
0.097,455.7311,0.2472,457.7808
0.097,457.4567,0.2472,459.5065
0.0973,457.4575,0.2472,461.2321
0.0973,459.1831,0.2472,462.9577
0.0973,460.9088,0.2472,464.6833
0.0976,462.6351,0.2472,466.409
0.0976,464.3608,0.2469,468.1338
0.098,464.3615,0.2469,469.8595
0.098,466.0871,0.2469,471.5851
0.0983,467.8135,0.2469,473.3107
0.0983,469.5391,0.2469,475.0363
0.0987,471.2655,0.2469,476.762
0.0987,472.991,0.2465,478.4868
0.099,474.7175,0.2465,480.2125
0.099,476.4431,0.2465,481.9381
0.0994,478.1695,0.2465,483.6637
0.0994,479.8951,0.2465,485.3894
0.0997,481.6215,0.2465,487.115
0.1001,483.3477,0.2465,488.8406
0.1001,485.0735,0.2465,490.5662
0.1004,486.7997,0.2465,492.2919
0.1004,488.5253,0.2465,494.0175
0.1004,490.2511,0.2465,495.7431
0.1007,491.9774,0.2465,497.4687
0.1007,493.7031,0.2462,499.1936
0.1011,495.4294,0.2462,500.9192
0.1011,497.1551,0.2462,502.6449
0.1014,497.1558,0.2458,504.3698
0.1014,498.8814,0.2458,506.0954
0.1018,500.6078,0.2458,507.821
0.1018,502.3334,0.2458,509.5466
0.1018,504.059,0.2458,511.2723
0.1021,505.7854,0.2458,512.9979
0.1021,507.511,0.2455,514.7227
0.1025,509.2374,0.2455,516.4484
0.1025,510.963,0.2455,518.174
0.1028,510.9638,0.2455,519.8996
0.1028,512.6894,0.2455,521.6253
0.1031,514.4158,0.2455,523.3509
0.1031,516.1414,0.2451,525.0758
0.1031,517.867,0.2451,526.8014
0.1035,519.5934,0.2451,528.527
0.1035,521.319,0.2448,530.2519
0.1038,523.0454,0.2448,531.9775
0.1038,524.771,0.2448,533.7032
0.1042,524.7717,0.2448,535.4288
0.1042,526.4974,0.2448,537.1544
0.1042,528.223,0.2448,538.88
0.1045,529.9494,0.2448,540.6057
0.1045,531.675,0.2448,542.3313
0.1049,533.4013,0.2448,544.0569
0.1049,535.127,0.2444,545.7818
0.1052,535.1277,0.2444,547.5074
0.1052,536.8533,0.2444,549.2331
0.1052,538.579,0.2441,550.9579
0.1056,540.3053,0.2441,552.6836
0.1056,542.031,0.2441,554.4092
0.1059,543.7572,0.2438,556.1341
0.1059,545.483,0.2438,557.8597
0.1062,545.4837,0.2438,559.5853
0.1062,547.2093,0.2438,561.3109
0.1062,548.9348,0.2438,563.0366
0.1066,550.6613,0.2438,564.7622
0.1066,552.3869,0.2438,566.4878
0.1069,554.1133,0.2438,568.2135
0.1069,555.8389,0.2438,569.9391
0.1073,555.8397,0.2434,571.664
0.1073,557.5653,0.2434,573.3896
0.1073,559.2909,0.2434,575.1152
0.1076,561.0173,0.2431,576.8401
0.1076,562.7429,0.2431,578.5657
0.108,564.4693,0.2431,580.2913
0.108,566.1949,0.2431,582.017
0.1083,566.1956,0.2431,583.7426
0.1083,567.9213,0.2431,585.4682
0.1083,569.6469,0.2427,587.1931
0.1086,571.3733,0.2427,588.9186
0.1086,573.0989,0.2427,590.6444
0.109,574.8253,0.2427,592.37
0.1093,576.5516,0.2427,594.0956
0.1093,578.2772,0.2427,595.8212
0.1097,580.0036,0.2424,597.5461
0.1097,581.7292,0.2424,599.2717
0.1097,583.4549,0.2424,600.9973
0.11,585.1812,0.242,602.7223
0.11,586.9069,0.242,604.4479
0.1104,588.6332,0.242,606.1735
